postcode_district,property_type,num_sales,total_floor_area,total_price,price_per_sqm,adj_price_per_sqm
BA2,T,9153,894407.0,2456968327.0,2747,3906
BA20,ALL,4668,430296.0,804064779.0,1869,2701
BA20,D,1188,153563.0,315545848.0,2055,2927
BA20,F,770,42200.0,75061655.0,1779,2673
BA20,S,1321,121375.0,228358927.0,1881,2681
BA20,T,1389,113158.0,185098349.0,1636,2428
BA21,ALL,13850,1157788.0,2117494549.0,1829,2634
BA21,D,2373,281409.0,592590796.0,2106,2999
BA21,F,2058,100621.0,172234885.0,1712,2622
BA21,S,4379,367882.0,693376736.0,1885,2680
BA21,T,5040,407876.0,659292132.0,1616,2342
BA22,ALL,3903,433157.0,984190605.0,2272,3205
BA22,D,1807,253707.0,596328019.0,2350,3312
BA22,F,345,20685.0,35085264.0,1696,2524
BA22,S,780,76174.0,168411788.0,2211,3109
BA22,T,971,82591.0,184365534.0,2232,3133
BA3,ALL,7987,774316.0,1776388919.0,2294,3218
BA3,D,2418,319305.0,793345355.0,2485,3448
BA3,F,605,31319.0,70219480.0,2242,3206
BA3,S,2359,216802.0,481416021.0,2221,3124
BA3,T,2605,206890.0,431408063.0,2085,2963
BA4,ALL,5508,538711.0,1126787128.0,2092,2990
BA4,D,1540,216614.0,497335155.0,2296,3256
BA4,F,637,37148.0,69230780.0,1864,2697
BA4,S,1570,142755.0,283625799.0,1987,2853
BA4,T,1761,142194.0,276595394.0,1945,2799
BA5,ALL,6583,660297.0,1672631535.0,2533,3529
BA5,D,1871,263094.0,717051634.0,2725,3755
BA5,F,925,57234.0,146754979.0,2564,3638
BA5,S,1732,154019.0,383340895.0,2489,3458
BA5,T,2055,185950.0,425484027.0,2288,3235
BA6,ALL,4836,487197.0,1054189085.0,2164,3058
BA6,D,1722,231867.0,537269802.0,2317,3259
BA6,F,606,34348.0,69917868.0,2036,2949
BA6,S,1065,95892.0,202824392.0,2115,2987
BA6,T,1443,125090.0,244177023.0,1952,2769
BA7,ALL,1423,136006.0,303644763.0,2233,3191
BA7,D,371,51461.0,129063060.0,2508,3521
BA7,F,105,5841.0,9831565.0,1683,2513
BA7,S,394,34309.0,71802099.0,2093,3044
BA7,T,553,44395.0,92948039.0,2094,3012
BA8,ALL,1206,128520.0,268683279.0,2091,2993
BA8,D,485,67827.0,153479226.0,2263,3232
BA8,F,79,4365.0,7602639.0,1742,2589
BA8,S,319,29455.0,59102044.0,2007,2842
BA8,T,323,26873.0,48499370.0,1805,2622
BA9,ALL,2983,278948.0,596801425.0,2139,3002
BA9,D,974,122854.0,293707669.0,2391,3296
BA9,F,414,21816.0,40084044.0,1837,2663
BA9,S,827,73079.0,149144079.0,2041,2871
BA9,T,768,61199.0,113865633.0,1861,2688
BB1,ALL,15264,1438249.0,1594116546.0,1108,1598
BB1,D,1940,242134.0,417956881.0,1726,2390
BB1,F,545,31390.0,39751187.0,1266,1931
BB1,S,4955,444808.0,581680862.0,1308,1865
BB1,T,7824,719917.0,554727616.0,771,1152
BB10,ALL,14860,1303968.0,1278662708.0,981,1414
BB10,D,1687,207159.0,343620973.0,1659,2300
BB10,F,125,8493.0,10310511.0,1214,1711
BB10,S,3155,282490.0,394703907.0,1397,1965
BB10,T,9893,805826.0,530027317.0,658,991
BB11,ALL,11309,955061.0,771733490.0,808,1181
BB11,D,535,71194.0,102516880.0,1440,2074
BB11,F,341,20190.0,22738986.0,1126,1685
BB11,S,2062,196246.0,245510549.0,1251,1749
BB11,T,8371,667431.0,400967075.0,601,904
BB12,ALL,11715,1025014.0,1327137173.0,1295,1845
BB12,D,2440,281563.0,521554485.0,1852,2567
BB12,F,312,18922.0,28840190.0,1524,2270
BB12,S,2569,211564.0,328085915.0,1551,2199
BB12,T,6394,512965.0,448656583.0,875,1288
BB18,ALL,6125,568451.0,738756131.0,1300,1836
BB18,D,714,88993.0,173060138.0,1945,2728
BB18,F,77,4993.0,6450300.0,1292,1717
